,Open time,Open,High,Low,Close,Volume,Closetime,Quote Asset Volume,Number of Traders,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,a
152,1590498000000,0.00183080,0.00183360,0.00182740,0.00183310,29424.68000000,1590501599999,53.87362723,2559,15278.97000000,27.98157799,0
153,1590501600000,0.00183310,0.00183680,0.00183000,0.00183340,28148.58000000,1590505199999,51.60509543,2903,14705.19000000,26.96601667,0
154,1590505200000,0.00183350,0.00183860,0.00182930,0.00183410,45696.54000000,1590508799999,83.80564435,4538,24475.40000000,44.88952834,0
155,1590508800000,0.00183390,0.00183600,0.00183070,0.00183390,29341.61000000,1590512399999,53.80222564,3271,14551.53000000,26.68572613,0
156,1590512400000,0.00183390,0.00183640,0.00183170,0.00183460,22172.95000000,1590515999999,40.67468310,2511,10653.11000000,19.54458167,0
157,1590516000000,0.00183460,0.00183600,0.00183220,0.00183380,26245.76000000,1590519599999,48.14678214,2272,12293.67000000,22.55570208,0
158,1590519600000,0.00183380,0.00183650,0.00183140,0.00183210,23170.57000000,1590523199999,42.49759414,2329,9705.83000000,17.80483901,0
159,1590523200000,0.00183200,0.00183340,0.00182600,0.00182880,21517.42000000,1590526799999,39.35393845,2502,11568.11000000,21.15925225,0
160,1590526800000,0.00182890,0.00183290,0.00182610,0.00183160,16213.79000000,1590530399999,29.67261826,1929,6838.40000000,12.51685651,0
161,1590530400000,0.00183160,0.00183640,0.00183080,0.00183470,18507.58000000,1590533999999,33.94323811,2291,9632.65000000,17.66710641,0
162,1590534000000,0.00183490,0.00183770,0.00183250,0.00183380,21170.65000000,1590537599999,38.85836757,2494,12036.34000000,22.09603924,0
163,1590537600000,0.00183360,0.00184490,0.00182940,0.00183000,54713.75000000,1590541199999,100.45182433,4667,28127.73000000,51.65801949,0
164,1590541200000,0.00183000,0.00183700,0.00182970,0.00183380,31445.45000000,1590544799999,57.63587666,2643,14763.54000000,27.06100714,0
165,1590544800000,0.00183380,0.00183850,0.00183120,0.00183450,25875.48000000,1590548399999,47.48139641,2505,11837.54000000,21.72242303,0
166,1590548400000,0.00183450,0.00183500,0.00183000,0.00183330,21773.23000000,1590551999999,39.90705391,2351,10499.93000000,19.24551330,0
167,1590552000000,0.00183330,0.00183510,0.00182930,0.00182980,19559.13000000,1590555599999,35.82760652,1935,9655.24000000,17.68817988,0
168,1590555600000,0.00182990,0.00183510,0.00182930,0.00183240,18169.51000000,1590559199999,33.28847062,2086,8728.68000000,15.99389025,0
169,1590559200000,0.00183230,0.00183740,0.00183140,0.00183510,32331.38000000,1590562799999,59.34841751,2287,15541.83000000,28.52596575,0
170,1590562800000,0.00183510,0.00183810,0.00183370,0.00183400,19228.41000000,1590566399999,35.31217455,1695,10597.32000000,19.46309620,0
171,1590566400000,0.00183400,0.00183530,0.00182160,0.00182670,49207.49000000,1590569999999,89.93375013,4545,20384.75000000,37.26247359,0
172,1590570000000,0.00182670,0.00183120,0.00182350,0.00182810,33201.10000000,1590573599999,60.68175398,2626,13423.52000000,24.53820294,0
173,1590573600000,0.00182820,0.00182980,0.00179490,0.00180550,102101.68000000,1590577199999,184.66925778,10052,41095.74000000,74.28762622,0
174,1590577200000,0.00180570,0.00180680,0.00179260,0.00179650,69486.13000000,1590580799999,125.05007241,6093,27661.73000000,49.80541419,0
175,1590580800000,0.00179630,0.00180280,0.00179310,0.00180020,32624.30000000,1590584399999,58.64243913,3686,17911.92000000,32.19760326,0
176,1590584400000,0.00180020,0.00180110,0.00178940,0.00179310,42301.80000000,1590587999999,75.92043135,4481,17989.65000000,32.28833957,0
177,1590588000000,0.00179320,0.00179780,0.00179300,0.00179440,26964.15000000,1590591599999,48.41208289,2848,15534.91000000,27.89298551,0
178,1590591600000,0.00179440,0.00179710,0.00178740,0.00179270,65592.18000000,1590595199999,117.57032354,4789,31709.17000000,56.83779353,0
179,1590595200000,0.00179270,0.00179550,0.00179000,0.00179240,40562.97000000,1590598799999,72.69276199,2897,12061.49000000,21.62260631,0
180,1590598800000,0.00179250,0.00179550,0.00178820,0.00179540,43724.27000000,1590602399999,78.32566187,3013,16429.53000000,29.43944368,0
181,1590602400000,0.00179520,0.00179820,0.00179350,0.00179740,15451.38000000,1590605999999,27.74619543,1711,7353.28000000,13.20557704,0
182,1590606000000,0.00179740,0.00179840,0.00179110,0.00179240,17315.32000000,1590609599999,31.07852881,1733,10152.96000000,18.22422956,0
183,1590609600000,0.00179270,0.00179720,0.00179180,0.00179280,12382.78000000,1590613199999,22.21532804,1360,6301.06000000,11.30778490,0
184,1590613200000,0.00179280,0.00180040,0.00179110,0.00179920,15790.34000000,1590616799999,28.35734830,2036,7996.83000000,14.36110397,0
185,1590616800000,0.00179930,0.00180160,0.00179380,0.00179630,20624.22000000,1590620399999,37.07776407,1960,6800.19000000,12.22782904,0
186,1590620400000,0.00179700,0.00179790,0.00178770,0.00178930,22874.39000000,1590623999999,40.98609614,2116,8003.01000000,14.34511460,0
187,1590624000000,0.00178860,0.00179700,0.00178080,0.00178200,42826.32000000,1590627599999,76.70413003,2992,18928.03000000,33.91358624,0
188,1590627600000,0.00178260,0.00178780,0.00178060,0.00178530,45063.95000000,1590631199999,80.38152585,2383,20425.18000000,36.43800889,0
189,1590631200000,0.00178540,0.00180300,0.00178420,0.00179400,77893.30000000,1590634799999,139.76885596,3580,34466.00000000,61.84614216,0
190,1590634800000,0.00179430,0.00179950,0.00179080,0.00179650,28912.07000000,1590638399999,51.92041295,1696,15402.56000000,27.66056388,0
191,1590638400000,0.00179780,0.00180000,0.00179060,0.00179280,21479.46000000,1590641999999,38.54326894,1998,10598.16000000,19.01720700,0
192,1590642000000,0.00179280,0.00180050,0.00179070,0.00179890,24229.99000000,1590645599999,43.52606856,1778,11287.70000000,20.27573000,0
193,1590645600000,0.00179880,0.00180050,0.00179560,0.00179890,18848.29000000,1590649199999,33.89223624,1680,8382.66000000,15.07418185,0
194,1590649200000,0.00179890,0.00180100,0.00179520,0.00179750,21930.05000000,1590652799999,39.44000099,1398,9928.23000000,17.85835453,0
195,1590652800000,0.00179690,0.00180100,0.00179300,0.00179300,16143.42000000,1590656399999,29.01467615,1984,7157.51000000,12.86901168,0
196,1590656400000,0.00179310,0.00179530,0.00178970,0.00179180,20106.87000000,1590659999999,36.04537950,1932,9324.78000000,16.71722726,0
197,1590660000000,0.00179190,0.00179750,0.00179130,0.00179500,11796.75000000,1590663599999,21.17461607,1527,6057.82000000,10.87617267,0
198,1590663600000,0.00179500,0.00179780,0.00177650,0.00178010,35827.72000000,1590667199999,63.94994987,3580,15125.07000000,27.01734322,0
199,1590667200000,0.00178030,0.00178520,0.00175700,0.00176080,78772.59000000,1590670799999,139.33069819,6764,32508.86000000,57.52544760,0
200,1590670800000,0.00176010,0.00176900,0.00175710,0.00176520,37757.24000000,1590674399999,66.60200419,2800,19737.40000000,34.81814329,0
